PlayerName,PlayerUID,InferredRace,RaceConfidence,InferredAge,InferredEmotion,EmotionConfidence,PlayerHeightWeight,PlayerBirthdate,PlayerCollege,PlayerDraftInfo,PlayerOverallStatus,PlayerURL
AJ Finley,s:20~l:28~a:4427190,Black,10000.00%,28,Neutral,9234.55%,"6' 0"", 188 lbs",9/14/2001 (23),Ole Miss,N/A,Active,https://www.espn.com/nfl/player/_/id/4427190/aj-finley
Kenny McIntosh,s:20~l:28~a:4427391,Black,9591.17%,25,Happy,9935.58%,"6' 0"", 204 lbs",3/3/2000 (25),Georgia,"2023: Rd 7, Pk 237 (SEA)",Active,https://www.espn.com/nfl/player/_/id/4427391/kenny-mcintosh
Sataoa Laumea,s:20~l:28~a:4427770,Latino Hispanic,4895.89%,24,Happy,6276.48%,"6' 4"", 319 lbs",1/13/2001 (24),Utah,"2024: Rd 6, Pk 179 (SEA)",Active,https://www.espn.com/nfl/player/_/id/4427770/sataoa-laumea
Bubba Thomas,s:20~l:28~a:4428657,Black,7400.67%,27,Neutral,9962.03%,"6' 1"", 301 lbs",N/A,South Alabama,N/A,Active,https://www.espn.com/nfl/player/_/id/4428657/bubba-thomas
Drake Thomas,s:20~l:28~a:4428659,White,3795.63%,31,Neutral,8511.20%,"5' 11"", 228 lbs",2/25/2000 (25),NC State,N/A,Active,https://www.espn.com/nfl/player/_/id/4428659/drake-thomas
Anthony Bradford,s:20~l:28~a:4429211,Black,9999.89%,27,Happy,9995.93%,"6' 5"", 332 lbs",4/28/2001 (24),LSU,"2023: Rd 4, Pk 108 (SEA)",Active,https://www.espn.com/nfl/player/_/id/4429211/anthony-bradford
Tyrone Broden,s:20~l:28~a:4429313,Black,9996.66%,26,Neutral,6242.62%,"6' 5"", 194 lbs",N/A,Arkansas,N/A,Active,https://www.espn.com/nfl/player/_/id/4429313/tyrone-broden
Seth Coleman,s:20~l:28~a:4429436,Black,10000.00%,31,Neutral,8534.56%,"6' 3"", 246 lbs",N/A,Illinois,N/A,Active,https://www.espn.com/nfl/player/_/id/4429436/seth-coleman
Federico Maranges,s:20~l:28~a:4430070,White,6534.54%,25,Happy,2491.95%,"6' 3"", 302 lbs",N/A,FAU,N/A,Active,https://www.espn.com/nfl/player/_/id/4430070/federico-maranges
Rylie Mills,s:20~l:28~a:4430838,White,7443.27%,31,Happy,8947.87%,"6' 5"", 290 lbs",8/20/2001 (23),Notre Dame,"2025: Rd 5, Pk 142 (SEA)",Active,https://www.espn.com/nfl/player/_/id/4430838/rylie-mills
Jaxon Smith-Njigba,s:20~l:28~a:4430878,Asian,3928.53%,24,Neutral,9706.48%,"6' 0"", 197 lbs",2/14/2002 (23),Ohio State,"2023: Rd 1, Pk 20 (SEA)",Active,https://www.espn.com/nfl/player/_/id/4430878/jaxon-smith-njigba
D'Eryk Jackson,s:20~l:28~a:4431169,Black,10000.00%,29,Neutral,9999.92%,"6' 1"", 237 lbs",N/A,Kentucky,N/A,Active,https://www.espn.com/nfl/player/_/id/4431169/deryk-jackson
Ricky White III,s:20~l:28~a:4431479,Black,9989.06%,30,Neutral,9997.28%,"6' 1"", 184 lbs",2/6/2002 (23),UNLV,"2025: Rd 7, Pk 238 (SEA)",Active,https://www.espn.com/nfl/player/_/id/4431479/ricky-white-iii
Mason Richman,s:20~l:28~a:4432525,White,5792.09%,32,Happy,10000.00%,"6' 5"", 307 lbs",5/7/2002 (23),Iowa,"2025: Rd 7, Pk 234 (SEA)",Active,https://www.espn.com/nfl/player/_/id/4432525/mason-richman
Jalen Milroe,s:20~l:28~a:4432734,Black,10000.00%,26,Happy,9918.23%,"6' 2"", 216 lbs",12/13/2002 (22),Alabama,"2025: Rd 3, Pk 92 (SEA)",Active,https://www.espn.com/nfl/player/_/id/4432734/jalen-milroe
Kenneth Walker III,s:20~l:28~a:4567048,Black,9998.76%,26,Happy,8577.64%,"5' 9"", 211 lbs",10/20/2000 (24),Michigan State,"2022: Rd 2, Pk 41 (SEA)",QUESTIONABLE,https://www.espn.com/nfl/player/_/id/4567048/kenneth-walker-iii
Amari Kight,s:20~l:28~a:4567135,Black,9848.62%,29,Happy,6803.99%,"6' 6"", 200 lbs",N/A,UCF,N/A,Active,https://www.espn.com/nfl/player/_/id/4567135/amari-kight
Nehemiah Pritchett,s:20~l:28~a:4567222,Black,9999.98%,31,Happy,9895.82%,"6' 0"", 188 lbs",2/11/2001 (24),Auburn,"2024: Rd 5, Pk 136 (SEA)",Active,https://www.espn.com/nfl/player/_/id/4567222/nehemiah-pritchett
Derick Hall,s:20~l:28~a:4567226,Black,10000.00%,25,Happy,9854.44%,"6' 3"", 254 lbs",3/19/2001 (24),Auburn,"2023: Rd 2, Pk 37 (SEA)",Active,https://www.espn.com/nfl/player/_/id/4567226/derick-hall
Damarion Williams,s:20~l:28~a:4567480,Black,9999.98%,25,Happy,9792.12%,"5' 10"", 183 lbs",7/15/1998 (26),Houston,"2022: Rd 4, Pk 141 (BAL)",Active,https://www.espn.com/nfl/player/_/id/4567480/damarion-williams
Byron Murphy II,s:20~l:28~a:4570040,Black,7650.53%,30,Neutral,9668.49%,"6' 0"", 306 lbs",9/8/2002 (22),Texas,"2024: Rd 1, Pk 16 (SEA)",Active,https://www.espn.com/nfl/player/_/id/4570040/byron-murphy-ii
Jerrick Reed II,s:20~l:28~a:4570084,Black,10000.00%,24,Happy,9324.08%,"5' 9"", 196 lbs",8/7/2000 (24),New Mexico,"2023: Rd 6, Pk 198 (SEA)",Active,https://www.espn.com/nfl/player/_/id/4570084/jerrick-reed-ii
Mike Morris,s:20~l:28~a:4572055,White,5147.47%,29,Happy,9927.17%,"6' 6"", 295 lbs",4/22/2001 (24),Michigan,"2023: Rd 5, Pk 151 (SEA)",Active,https://www.espn.com/nfl/player/_/id/4572055/mike-morris
Isas Waxter,s:20~l:28~a:4574105,Black,10000.00%,26,Neutral,9999.98%,"6' 1"", 205 lbs",N/A,Villanova,N/A,Active,https://www.espn.com/nfl/player/_/id/4574105/isas-waxter
Devon Witherspoon,s:20~l:28~a:4575431,Black,10000.00%,28,Happy,5413.52%,"6' 0"", 185 lbs",12/11/2000 (24),Illinois,"2023: Rd 1, Pk 5 (SEA)",Active,https://www.espn.com/nfl/player/_/id/4575431/devon-witherspoon
AJ Barner,s:20~l:28~a:4576297,White,8944.49%,22,Happy,4622.44%,"6' 6"", 251 lbs",5/3/2002 (23),Michigan,"2024: Rd 4, Pk 121 (SEA)",Active,https://www.espn.com/nfl/player/_/id/4576297/aj-barner
Tory Horton,s:20~l:28~a:4597703,Black,9990.36%,24,Happy,9971.33%,"6' 2"", 196 lbs",11/29/2002 (22),Colorado St,"2025: Rd 5, Pk 166 (SEA)",Active,https://www.espn.com/nfl/player/_/id/4597703/tory-horton
Montorie Foster Jr.,s:20~l:28~a:4600597,Black,10000.00%,23,Neutral,5666.73%,"5' 11"", 199 lbs",N/A,Michigan St,N/A,Active,https://www.espn.com/nfl/player/_/id/4600597/montorie-foster-jr
Jared Ivey,s:20~l:28~a:4605478,Black,10000.00%,31,Happy,9999.79%,"6' 6"", 274 lbs",N/A,Ole Miss,N/A,Active,https://www.espn.com/nfl/player/_/id/4605478/jared-ivey
D'Anthony Bell,s:20~l:28~a:4608386,Black,9986.70%,33,Happy,9322.64%,"6' 1"", 211 lbs",10/17/1996 (28),West Florida,N/A,Active,https://www.espn.com/nfl/player/_/id/4608386/danthony-bell
Bryce Cabeldue,s:20~l:28~a:4612077,White,9986.12%,26,Neutral,8535.15%,"6' 4"", 306 lbs",9/4/2001 (23),Kansas,"2025: Rd 6, Pk 192 (SEA)",Active,https://www.espn.com/nfl/player/_/id/4612077/bryce-cabeldue
Elijah Arroyo,s:20~l:28~a:4678006,Black,9988.49%,31,Happy,9725.69%,"6' 5"", 254 lbs",4/5/2003 (22),Miami,"2025: Rd 2, Pk 50 (SEA)",Active,https://www.espn.com/nfl/player/_/id/4678006/elijah-arroyo
Jamie Sheriff,s:20~l:28~a:4685984,Black,10000.00%,28,Neutral,5474.48%,"6' 1"", 254 lbs",8/18/2000 (24),South Alabama,N/A,Active,https://www.espn.com/nfl/player/_/id/4685984/jamie-sheriff
J.R. Singleton,s:20~l:28~a:4686447,Black,10000.00%,31,Happy,6104.23%,"6' 1"", 299 lbs",N/A,Iowa State,N/A,Active,https://www.espn.com/nfl/player/_/id/4686447/jr-singleton
Tyrice Knight,s:20~l:28~a:4686540,Black,10000.00%,34,Happy,9942.09%,"6' 0"", 233 lbs",12/20/2000 (24),UTEP,"2024: Rd 4, Pk 118 (SEA)",Active,https://www.espn.com/nfl/player/_/id/4686540/tyrice-knight
Robbie Ouzts,s:20~l:28~a:4691688,Middle Eastern,6336.45%,25,Happy,9566.15%,"6' 3"", 274 lbs",9/6/2002 (22),Alabama,"2025: Rd 5, Pk 175 (SEA)",Active,https://www.espn.com/nfl/player/_/id/4691688/robbie-ouzts
Grey Zabel,s:20~l:28~a:4693346,White,5401.40%,26,Happy,9819.83%,"6' 6"", 316 lbs",3/30/2002 (23),N Dakota St,"2025: Rd 1, Pk 18 (SEA)",Active,https://www.espn.com/nfl/player/_/id/4693346/grey-zabel
Damien Martinez,s:20~l:28~a:4808830,Black,6984.39%,29,Neutral,9966.19%,"6' 0"", 217 lbs",1/31/2004 (21),Miami,"2025: Rd 7, Pk 223 (SEA)",Active,https://www.espn.com/nfl/player/_/id/4808830/damien-martinez
Nick Emmanwori,s:20~l:28~a:4869523,Black,10000.00%,23,Neutral,9999.78%,"6' 3"", 220 lbs",2/7/2004 (21),South Carolina,"2025: Rd 2, Pk 35 (SEA)",Active,https://www.espn.com/nfl/player/_/id/4869523/nick-emmanwori
Michael Jerrell,s:20~l:28~a:5209093,Black,9999.98%,33,Neutral,9920.04%,"6' 5"", 294 lbs",8/18/1999 (25),Findlay,"2024: Rd 6, Pk 207 (SEA)",Active,https://www.espn.com/nfl/player/_/id/5209093/michael-jerrell
